amount,merchant,description,label
145.59,Netflix,Else window save research.,normal
103.53,Starbucks,Within information government learn if money over.,entertainment
5.77,Amazon,Fly matter old.,normal
262.11,InsuranceCo,Own despite network machine process thousand.,utilities
62.95,LocalMarket,Buy rather agreement visit affect heart rich door.,normal
584.89,Amazon,Benefit message represent.,normal
39.39,Starbucks,Political care blood my.,entertainment
59.94,Netflix,Difference point course government begin.,entertainment
84.8,Amazon,Say several stay him sometimes step charge.,normal
285.32,LocalMarket,None person fight environment.,groceries
75.16,Walmart,Alone near oil society only and.,groceries
5.2,Netflix,Within whatever each build play different.,normal
187.76,Netflix,Vote character new technology along admit grow.,normal
148.45,Starbucks,Sister result home approach.,normal
622.31,Amazon,Great miss since we theory price.,normal
77.66,Netflix,Choose with miss attack pick sister present.,entertainment
485.07,LocalMarket,Firm less station total job.,normal
662.9,Amazon,Mention data author very hour baby unit.,normal
87.71,Netflix,Ok as region mission organization senior.,normal
773.05,LocalMarket,Brother conference career service.,normal
80.62,Walmart,Large together wall firm travel.,groceries
180.52,Netflix,Hold station front which president history or.,entertainment
99.72,Netflix,Doctor know station read respond professor.,normal
105.5,Starbucks,Whom draw since oil.,entertainment
1908.21,InsuranceCo,Off painting reflect form loss.,fraudulent
179.11,Netflix,Language eye although star.,entertainment
594.24,Walmart,Free describe better.,normal
151.57,Netflix,Give black stand data.,normal
43.01,Netflix,Defense account center name security front.,entertainment
80.99,Netflix,Product page occur plant whom.,entertainment
260.53,Shell,Product everything international main.,utilities
124.6,Netflix,Air four hold full light office process.,entertainment
173.05,InsuranceCo,Almost night product others.,normal
2341.97,Amazon,Let work institution bad.,fraudulent
489.85,Shell,Body until network past.,normal
335.24,InsuranceCo,Seat continue bar trade consider environmental stock suggest.,utilities
788.24,Walmart,Pretty today bring manage treat present.,normal
1397.71,InsuranceCo,Stay agree pretty.,fraudulent
429.86,Walmart,Of forget have represent way father base.,normal
251.53,LocalMarket,House suggest close opportunity allow.,groceries
36.89,Amazon,Popular order nation growth.,normal
41.3,Starbucks,Issue natural star production start news but.,normal
208.58,InsuranceCo,Set size later night.,utilities
244.4,Netflix,Man list media product federal.,normal
664.6,Shell,Young use doctor very development scene.,normal
163.72,Amazon,Wonder ball pressure note now husband.,normal
345.06,Starbucks,End science west project college subject Mrs.,normal
269.44,Shell,Red front peace population realize long if.,utilities
99.04,InsuranceCo,Sense true my such model decide government.,normal
616.6,Walmart,Whether weight above son six seem.,normal
648.51,Shell,Win game tonight mind when behavior yeah.,normal
55.03,LocalMarket,Special instead enter represent.,groceries
67.96,LocalMarket,Economy guy natural policy minute get.,normal
550.39,Shell,Natural show discuss third local effect.,normal
407.7,Starbucks,Whom condition cut reveal difficult.,normal
191.26,InsuranceCo,Speak today push visit authority cover.,normal
556.52,Walmart,Television city lead much its glass activity.,normal
489.73,InsuranceCo,Suggest wrong try true create apply kind.,utilities
796.53,Amazon,Window food over final buy kid quite.,normal
617.13,Amazon,Or seven center learn word prove partner.,normal
721.49,InsuranceCo,Recognize share west represent value.,normal
174.89,Starbucks,Direction security student.,entertainment
598.65,Walmart,Same entire my point no protect word.,normal
648.19,Walmart,Case change interest.,normal
511.55,Amazon,Use result property move owner take return.,normal
215.94,Walmart,Market move official win continue.,groceries
438.81,Shell,Carry standard bill into person ten.,utilities
117.47,Amazon,Own head body story one.,normal
498.0,Amazon,Production special onto air.,normal
696.11,LocalMarket,Talk company matter trouble think food loss.,normal
79.78,Starbucks,Skin meeting possible clearly.,entertainment
532.51,Starbucks,Responsibility teach still control.,normal
774.5,Amazon,Suggest surface effect letter sing seek a.,normal
2184.02,Amazon,End week maybe mission or.,fraudulent
215.65,Walmart,Understand crime five democratic voice front.,groceries
136.41,LocalMarket,Deep think probably draw.,groceries
36.34,Netflix,Certain mention budget argue at nation feel strategy.,entertainment
614.53,Shell,Debate rule expect budget today song.,normal
703.87,Netflix,See old tax executive yard movement visit off.,normal
529.33,InsuranceCo,Probably heavy end impact southern.,normal
493.57,LocalMarket,For practice benefit shoulder fly front happen.,normal
1043.68,Amazon,Certain us strong move final which trouble nor.,fraudulent
144.11,InsuranceCo,Purpose do two any authority effect street.,utilities
17.99,Starbucks,Pattern western she act court community cultural return.,normal
61.05,LocalMarket,Character institution cause.,normal
269.65,Starbucks,Trouble million parent process wish several.,normal
421.84,LocalMarket,Think performance play as individual.,normal
216.23,Starbucks,Dinner evening size without Republican.,normal
579.67,InsuranceCo,Third crime east present girl drug job.,normal
195.42,Netflix,Western evening within up involve onto compare.,entertainment
524.68,Amazon,Even year arm economy friend.,normal
744.03,Shell,Fire bed all away red college occur.,normal
655.95,Starbucks,Quickly of end action.,normal
110.98,Shell,Do politics throughout operation energy.,utilities
22.35,InsuranceCo,Speech recognize town week.,normal
24.09,Amazon,Really speech baby provide.,normal
43.99,Starbucks,Call leave response like.,normal
439.62,InsuranceCo,Administration conference win.,utilities
36.47,Starbucks,Situation realize through past Republican.,entertainment
357.0,Amazon,Despite place good wait scientist.,normal
468.74,LocalMarket,Economy professional father former listen range nation.,normal
17.12,Starbucks,Population man exactly him garden one.,entertainment
125.75,Amazon,Person trial lose full.,normal
1563.24,InsuranceCo,Need these talk support yourself again.,fraudulent
424.25,Netflix,Agency room fund discuss travel nature.,normal
471.58,LocalMarket,Manager marriage pretty good.,normal
157.42,Walmart,Wife deal nature scientist sound.,normal
2135.23,Amazon,Decide morning special.,fraudulent
336.08,InsuranceCo,Republican culture throughout role lead official major.,normal
180.8,Netflix,By paper check hope avoid pressure.,entertainment
153.4,Shell,Mention analysis phone ever approach.,utilities
54.17,Shell,Stand suffer point point.,utilities
701.64,Netflix,Argue question bag foot.,normal
565.45,Starbucks,Result billion area cell contain.,normal
112.54,Walmart,Forget result example consider.,groceries
331.54,Starbucks,Around authority bed would set.,normal
548.45,Amazon,Close central bank.,normal
662.82,Netflix,Number beautiful early position chair nice.,normal
108.74,LocalMarket,Approach eat number land travel which.,groceries
336.52,Walmart,Amount wide total company.,normal
1728.11,Amazon,Agent who current dark.,fraudulent
47.21,Starbucks,Charge rock ok still good short speak.,entertainment
238.83,Walmart,Onto production after class picture offer wind.,normal
118.13,Netflix,Share put born when land information.,entertainment
2412.0,InsuranceCo,Recognize structure cause write window whole spring.,fraudulent
188.52,Shell,Professor world enter full.,utilities
96.79,Starbucks,Team magazine air almost quickly seven.,entertainment
372.02,LocalMarket,Describe bag model kid speak occur career.,normal
189.22,Netflix,Outside represent science.,entertainment
149.16,Netflix,Conference recently exist identify message budget.,normal
448.98,Walmart,Within truth group wind.,normal
245.42,LocalMarket,Task risk person book.,normal
231.59,Starbucks,High decision often other pattern set relate.,normal
641.31,LocalMarket,Young cell discover turn entire while one.,normal
625.38,Amazon,Each professor ten none popular wait.,normal
131.8,Amazon,Message claim east close require among natural.,normal
1237.37,Amazon,Art student act for remember.,fraudulent
799.55,Starbucks,Major field claim animal space.,normal
433.05,Walmart,Cultural look middle.,normal
265.59,Shell,Treat side product help avoid.,normal
138.93,Netflix,Consumer real law necessary best make.,entertainment
744.41,InsuranceCo,Position all near.,normal
734.55,LocalMarket,Miss through pay agent to.,normal
609.67,Amazon,History official eight institution staff everybody green.,normal
650.21,Walmart,Cup laugh west answer carry game participant agreement.,normal
118.76,Netflix,Century practice investment name pretty figure.,entertainment
125.48,Walmart,Money quality station call.,groceries
696.56,Shell,Relationship pull decade war away.,normal
359.17,InsuranceCo,Argue perhaps much box.,utilities
13.61,Amazon,Statement expert fear direction task.,normal
81.26,Amazon,Process whole son response around weight.,normal
730.81,LocalMarket,Help free stop some nice.,normal
273.18,Netflix,Speech so strong series.,normal
616.59,Amazon,Tend tell behavior while.,normal
141.43,Netflix,Show manager listen can PM soon.,entertainment
414.99,Shell,Attorney beat plant manager particularly.,utilities
171.88,LocalMarket,Public agree article piece watch during in.,groceries
269.09,LocalMarket,Stock hundred scientist accept miss site view.,groceries
118.33,LocalMarket,Fine letter music all bill blue simple.,normal
399.07,InsuranceCo,Money organization represent could.,normal
704.97,Shell,Though performance million large kitchen Congress able.,normal
242.54,LocalMarket,Huge join agent ever yes.,groceries
185.55,Netflix,Computer gas from city production.,entertainment
124.25,InsuranceCo,Morning on listen mind set visit local.,normal
197.45,Shell,Live shoulder job true modern phone.,utilities
560.89,LocalMarket,Perhaps probably center other.,normal
39.78,Netflix,Pass hot bank foreign general society seven.,entertainment
325.56,Shell,Paper discussion enough.,utilities
517.68,InsuranceCo,Physical more federal state large agree customer.,normal
180.49,Starbucks,Herself same town everybody state.,entertainment
212.86,Shell,International offer order trade out language face.,normal
62.5,Amazon,Occur leg admit throw.,normal
28.79,Walmart,Political government strong than.,groceries
125.14,Netflix,Suddenly green pay hospital even product model.,normal
1782.91,Amazon,Space team past rate discuss north.,fraudulent
412.27,Starbucks,Color all hospital measure court.,normal
721.01,Amazon,Job minute guess such low expert.,normal
316.74,InsuranceCo,Leader base your culture probably.,utilities
777.47,Amazon,Arm billion source personal seem nature.,normal
418.94,Netflix,Rate when state like worker.,normal
35.12,LocalMarket,Spend successful effect success red.,groceries
339.54,Walmart,She even conference difference about civil.,normal
753.48,Amazon,Yes within grow process amount.,normal
162.93,LocalMarket,Want still rock event leader.,groceries
85.37,Shell,Prevent might money suggest tell gun boy.,utilities
175.15,Walmart,Natural wish state why church project.,groceries
1345.63,Amazon,Example response investment democratic drive sort.,fraudulent
80.59,InsuranceCo,Develop left the heavy fear.,normal
547.12,InsuranceCo,Trip north my night.,normal
308.02,LocalMarket,Never cost method sport.,normal
353.31,LocalMarket,Task daughter heart responsibility history into send.,normal
693.93,Walmart,Suddenly interest goal some early sit area.,normal
161.9,LocalMarket,Attention tax next put card real nothing.,groceries
111.2,LocalMarket,Student for really audience stock point explain.,groceries
514.51,Amazon,Name interview easy woman above.,normal
154.41,Starbucks,Total herself family sometimes live at politics.,entertainment
131.88,Starbucks,In player administration indeed our source.,entertainment
142.81,Netflix,Though garden benefit beat.,normal
783.49,InsuranceCo,Them walk front green family.,normal
311.31,Walmart,Day company section clear us send.,normal
83.3,Starbucks,Back trip return stay.,entertainment
178.08,LocalMarket,Can like brother tax forward group.,groceries
447.73,Shell,Heart management bar toward side nothing seven.,utilities
131.45,Netflix,North hard decide five teach break.,entertainment
705.05,Starbucks,Subject result financial stage key talk.,normal
27.3,Amazon,Expect record administration land north catch himself.,normal
486.17,InsuranceCo,Bit sense probably.,normal
302.41,InsuranceCo,Statement herself down oil administration.,normal
233.34,InsuranceCo,Recently others environmental often.,utilities
126.25,Netflix,Computer last page almost politics.,entertainment
384.77,Walmart,Improve focus daughter you central.,normal
48.62,Starbucks,Describe a commercial agent indicate.,entertainment
5.88,Netflix,Reason mean magazine forward seat less particularly point.,normal
252.57,LocalMarket,Over million full wind expert system.,groceries
316.08,Netflix,Image hotel career measure.,normal
153.29,Amazon,Tree coach forget.,normal
714.83,InsuranceCo,Whatever institution meet certain research suggest.,normal
545.61,Amazon,Open fall car always painting.,normal
38.56,Walmart,Defense single whole table dinner.,groceries
39.01,Walmart,History meet field worry international huge.,normal
95.45,Walmart,Who different mission baby seven international west.,groceries
151.67,Walmart,Win early night.,groceries
42.13,Walmart,Fear leg throughout section.,groceries
42.85,Walmart,Claim member pick that morning alone cultural.,groceries
235.83,Amazon,Sometimes soldier either agent different.,normal
465.32,LocalMarket,Single father prove sometimes share.,normal
261.69,InsuranceCo,Foot window exactly teacher item government.,normal
125.06,Starbucks,Time drive television majority young.,entertainment
729.07,Walmart,Tell own church station among current.,normal
5.65,Amazon,Any kind identify around ahead responsibility.,normal
1996.92,Amazon,Condition performance bill himself use miss.,fraudulent
750.66,Starbucks,Chance authority federal building.,normal
264.55,Walmart,Notice music black energy concern.,groceries
746.99,InsuranceCo,Wind a general seven national news work.,normal
181.16,Walmart,Might job responsibility consider.,normal
77.42,Starbucks,Subject yard all subject memory lay.,normal
7.27,Amazon,Politics despite garden something none main somebody.,normal
404.32,Walmart,Account herself purpose.,normal
50.85,Walmart,Congress lay option.,groceries
3.94,Shell,Himself although while direction.,normal
581.62,Amazon,Sometimes choice stay continue.,normal
702.91,InsuranceCo,Wrong measure history cover store.,normal
738.95,InsuranceCo,Pull message gun miss for.,normal
64.72,Starbucks,Television above cultural.,entertainment
182.46,Starbucks,People write sometimes mention build scene success.,normal
764.9,Walmart,Determine top make look meet lay.,normal
77.67,Walmart,Natural education future feeling.,groceries
511.27,Netflix,Music cost ask.,normal
381.22,Starbucks,Allow sure tell onto teach with.,normal
392.17,Shell,Involve Mrs information baby down direction.,utilities
768.31,Netflix,Section pattern feeling character civil.,normal
656.21,LocalMarket,Arm black particular.,normal
498.47,Amazon,Black current hotel step meeting gas.,normal
598.48,Shell,For knowledge response catch team side serve.,normal
85.32,LocalMarket,Staff lay remember red that half defense.,normal
553.45,Starbucks,Rest significant science main not start economic.,normal
162.69,Starbucks,Green number cut personal.,entertainment
491.75,InsuranceCo,Suggest community truth tax just clearly.,utilities
548.09,Walmart,Prove choice world single realize everyone.,normal
499.9,Walmart,Attention outside authority if.,normal
564.79,Starbucks,Part best claim authority usually discussion fish.,normal
49.65,Shell,Nice doctor particularly accept.,normal
476.4,Shell,Than performance score.,utilities
705.88,Shell,Child mind federal down song look there.,normal
179.93,Netflix,Focus life design hand rise until.,entertainment
104.87,LocalMarket,Face wish nature region movement.,normal
373.22,Shell,Also late production think.,normal
381.62,InsuranceCo,Remain course agent break human recent.,utilities
369.09,Starbucks,Discuss bag determine much more interesting.,normal
88.0,Netflix,Crime last they American may.,normal
477.52,Starbucks,Cause little woman dream defense weight style.,normal
18.01,Starbucks,Little worker north group discover financial should.,entertainment
188.32,InsuranceCo,Group join speak issue beyond TV strategy.,utilities
58.54,LocalMarket,Very yard concern thank.,normal
222.74,Walmart,Range worry well.,normal
144.43,Walmart,Only state toward.,normal
174.63,LocalMarket,Miss issue capital lawyer again standard.,normal
308.73,InsuranceCo,Against allow green country power nature from.,utilities
481.37,Shell,Right charge edge theory crime cover thought catch.,normal
407.6,InsuranceCo,Dinner hit check put worker push.,normal
232.53,Shell,Method western movie civil military.,utilities
173.31,Starbucks,Use small game coach from.,entertainment
254.0,LocalMarket,Defense out together three.,groceries
70.07,Walmart,The box moment one.,groceries
279.53,LocalMarket,Many animal whose.,normal
302.42,LocalMarket,Letter remain administration more she.,normal
529.47,Starbucks,Network only city hotel letter account without grow.,normal
311.18,InsuranceCo,Strategy attention thing eat within at require.,normal
746.45,Netflix,Success might season yes break pay.,normal
121.65,LocalMarket,Physical food author same.,groceries
140.96,InsuranceCo,Data charge send force.,utilities
105.12,Starbucks,Make purpose left force lot several Congress.,entertainment
564.54,Shell,Key technology reach official after method.,normal
2042.3,Amazon,Way note media that toward crime scientist.,fraudulent
75.65,Walmart,Paper training represent live.,groceries
79.18,Walmart,Group become draw dog light style quickly.,groceries
476.13,InsuranceCo,Face these that song mother old.,normal
84.19,LocalMarket,Matter however change while positive minute sure guess.,groceries
103.52,Starbucks,So yeah some read station.,entertainment
676.65,Starbucks,Again finish buy whose floor few.,normal
322.52,LocalMarket,Pm action social term.,normal
44.34,Netflix,Worker smile research thing run.,entertainment
106.3,LocalMarket,Agree carry run professor word factor.,groceries
92.16,Starbucks,Seat strong go last history though.,normal
441.57,Amazon,Officer fire through teacher low scene positive.,normal
661.61,Walmart,Girl do clearly today indicate me section sometimes.,normal
399.33,Starbucks,Week director rule far lay whatever.,normal
78.89,Starbucks,Lot tax wrong food tree cup late.,entertainment
71.42,Starbucks,Religious usually fight clear cold.,entertainment
161.27,Walmart,Week determine throw develop.,normal
56.07,Netflix,Station mention official beat.,entertainment
445.71,Shell,Purpose apply consider blood garden.,normal
102.79,Netflix,Field entire feel high when woman.,normal
1980.31,InsuranceCo,Join financial weight explain coach.,fraudulent
150.91,Shell,Home throw wrong public exist age.,normal
18.14,Netflix,Country research suffer by power population do.,entertainment
198.17,LocalMarket,Party born animal central world.,groceries
577.76,LocalMarket,Walk approach church turn.,normal
13.91,Netflix,Example eye professional treatment.,entertainment
76.24,Starbucks,Where bill almost interest join.,normal
111.03,Netflix,Boy performance fast push remain.,normal
405.51,InsuranceCo,Argue board between after give.,utilities
2665.08,InsuranceCo,Man nature fish know result sea dream one.,fraudulent
88.6,Shell,Too tend decision.,utilities
695.77,Netflix,Condition board understand ten local a.,normal
144.93,Walmart,World coach color technology.,groceries
183.08,Shell,Within debate film member chance travel it available.,normal
624.41,Starbucks,Maintain final open remain capital.,normal
12.88,Starbucks,Great race activity particular customer minute spring.,entertainment
311.0,Walmart,Federal economic down skin.,normal
242.33,Walmart,Manage exist drug improve.,groceries
352.12,InsuranceCo,Director into clear concern white lay able.,utilities
1770.52,InsuranceCo,Employee huge hear whether hospital discuss.,fraudulent
485.93,Starbucks,Than information prevent kid tough others.,normal
35.74,Shell,Hold future civil goal.,normal
43.98,LocalMarket,Sometimes training picture take property member ask.,normal
250.43,Amazon,Part leave own through decade.,normal
315.79,InsuranceCo,Commercial various hear include challenge often significant.,normal
758.74,Netflix,Tonight talk law player.,normal
133.36,Netflix,Wish position rather whatever bar top reach whom.,normal
88.26,Netflix,Building body accept sometimes.,entertainment
175.17,Netflix,High look experience cold positive among.,entertainment
1321.1,InsuranceCo,Side bit talk rise show unit modern ground.,fraudulent
368.39,InsuranceCo,Environmental final media lawyer paper effect management.,utilities
286.17,Starbucks,Wall station decade close voice opportunity can exist.,normal
221.65,Shell,Democratic safe blood.,normal
40.12,Starbucks,To leave away.,entertainment
299.63,Netflix,Need open his record threat.,normal
35.16,Walmart,Writer table manager join per.,groceries
780.83,Netflix,Thus bar team special around something conference.,normal
19.12,LocalMarket,West little remain.,normal
73.44,Netflix,When green if college.,entertainment
221.21,LocalMarket,Rise bank improve work eat.,groceries
167.23,Walmart,Less save interest project.,groceries
552.01,Amazon,Apply decade foreign foreign road eye notice.,normal
135.7,InsuranceCo,Mrs issue year try.,utilities
326.4,LocalMarket,Agency like remember front raise while.,normal
270.24,InsuranceCo,Daughter section hour effect few local.,utilities
20.29,Walmart,Condition knowledge yard add.,groceries
219.06,Walmart,Something statement such than civil door Republican.,normal
23.95,LocalMarket,Top here manage national church.,groceries
654.57,Netflix,Officer nature thing create red.,normal
249.02,LocalMarket,Understand be instead accept.,groceries
505.58,InsuranceCo,Store onto itself minute building speak however.,normal
724.2,LocalMarket,Stock sit away may chance.,normal
191.67,Starbucks,Production case attack born data throw international.,normal
420.06,Amazon,Business outside talk choice hair style meet.,normal
250.78,Shell,Support bed above loss.,normal
293.84,LocalMarket,Anyone with amount down go plan produce travel.,groceries
223.17,LocalMarket,You teach miss painting.,groceries
260.42,Shell,Form leg inside always box five paper.,normal
159.19,Walmart,Black food just change man century keep.,groceries
2011.89,Amazon,Hour man herself west pick next.,fraudulent
259.82,InsuranceCo,Once magazine east national than.,utilities
33.03,InsuranceCo,Age great across enter create.,normal
108.25,LocalMarket,Consumer account follow time either stock.,normal
59.58,Starbucks,Significant best decade wife yard.,entertainment
74.7,Netflix,Speak off relate beautiful treatment trip.,normal
454.16,LocalMarket,Improve discover hospital.,normal
2311.9,InsuranceCo,Worry wall son performance simple detail.,fraudulent
382.38,LocalMarket,Region provide wait significant herself.,normal
168.81,InsuranceCo,Interview million then bill.,normal
502.55,Netflix,Environmental across myself chair energy model season.,normal
43.96,Shell,Include trial me hundred against.,normal
232.64,Shell,State young available possible people.,normal
39.54,Walmart,Admit current or good.,groceries
365.61,Shell,Interesting modern thousand like catch.,normal
191.68,Shell,Measure customer Mrs particularly career practice matter.,normal
460.97,Shell,Partner different culture especially road whether.,utilities
381.9,InsuranceCo,Various at Mr movement.,normal
641.15,Shell,Phone sense group similar issue kitchen.,normal
753.38,Shell,Player one need plan.,normal
152.16,Starbucks,Social hit although like raise dream.,entertainment
474.88,Shell,Where allow modern according police.,utilities
196.96,Walmart,Term reduce now certain inside environment still.,normal
39.12,Netflix,Company matter he thank PM.,entertainment
120.07,Netflix,Safe form stage similar direction quickly my laugh.,entertainment
393.99,InsuranceCo,Education goal bill relate of wind summer whole.,utilities
358.88,InsuranceCo,Culture recognize late.,utilities
27.43,Starbucks,Simply rock player.,normal
685.59,Shell,Popular people day size.,normal
274.21,Walmart,Resource new behind couple billion talk produce.,normal
86.2,InsuranceCo,Brother course computer public majority paper else.,utilities
29.44,Walmart,National low test heavy beautiful rest long.,normal
32.8,Starbucks,Happen less relate miss the expect before.,normal
676.84,Starbucks,Great country dog media hard response its name.,normal
246.48,InsuranceCo,Do reveal against.,normal
44.31,LocalMarket,Identify energy head too appear Democrat.,groceries
154.71,LocalMarket,Medical contain subject senior goal her most inside.,groceries
210.97,Netflix,Dream while position cut summer.,normal
163.46,Netflix,I may age community.,entertainment
112.52,InsuranceCo,Leave interview heart provide under need live finally.,utilities
29.52,Netflix,Money official often point increase work.,entertainment
449.97,Shell,Well officer natural success fight.,normal
74.32,Walmart,Third head figure.,groceries
1335.92,Amazon,Scientist during later.,fraudulent
2898.4,Amazon,She form hear bad.,fraudulent
117.71,Walmart,Often language move popular law.,groceries
186.79,Starbucks,Writer American seem cell challenge.,normal
203.48,LocalMarket,Feel brother close visit.,groceries
226.32,Netflix,Chair suggest direction your.,normal
156.49,Starbucks,Evidence heavy sister technology.,normal
249.33,Walmart,Compare card country work white wear develop.,groceries
53.78,Shell,May several nation old exist likely moment.,normal
242.98,InsuranceCo,Study why account always.,utilities
127.09,LocalMarket,Cover science role daughter fish majority table traditional.,groceries
16.79,Shell,How candidate fast arm return tree professor.,normal
521.74,Shell,Forget professor decision radio what leader.,normal
797.0,InsuranceCo,Thousand for they say investment usually discussion.,normal
271.12,Shell,Hope glass man artist.,normal
780.45,LocalMarket,Idea generation particularly information whatever call.,normal
77.47,Netflix,Success citizen officer executive.,entertainment
401.17,Shell,Him them talk too seven tax black.,utilities
252.53,Starbucks,Say trouble show.,normal
520.84,Starbucks,Appear tree because parent again collection.,normal
203.15,Walmart,Already task learn agent beat image.,normal
47.0,Starbucks,Night seat top business war dream despite.,entertainment
246.94,Shell,Across building word.,utilities
534.62,Netflix,Travel great miss show.,normal
538.26,Shell,Often energy program.,normal
145.93,LocalMarket,Know structure member type detail.,groceries
70.21,Shell,Late relate grow see.,normal
47.85,LocalMarket,Wear all year end blue want democratic.,groceries
38.51,Shell,Effect admit south still toward certain know.,normal
629.37,Walmart,Pressure above describe get sister indeed race.,normal
280.32,Netflix,Education have rather TV how history Congress.,normal
76.86,Netflix,Best career herself.,entertainment
396.09,Shell,Approach decide ever necessary might thus.,utilities
382.82,Netflix,Join feeling home material time.,normal
81.25,Netflix,Your western dream green room.,entertainment
40.46,Starbucks,Reason dark risk argue sometimes.,normal
211.18,LocalMarket,Husband hair exactly inside follow why church.,groceries
324.55,Netflix,Consumer generation manager her.,normal
399.85,Shell,Lot first tree ground trip green center.,utilities
747.52,Netflix,Carry somebody camera one interest.,normal
612.14,LocalMarket,Within page movement necessary significant.,normal
424.15,Starbucks,Store culture really actually national.,normal
96.2,Shell,Environment car rest plant factor.,normal
240.86,InsuranceCo,Environmental one factor end leave prove politics.,utilities
1.02,Walmart,Site meet number shake rule whose.,normal
256.78,Netflix,Choose end no organization fast.,normal
1.86,LocalMarket,Almost up statement end nice.,normal
133.27,Walmart,Stage behind answer entire thing while until high.,groceries
367.41,Shell,Paper PM around light security identify administration.,utilities
137.78,LocalMarket,Senior sign thought worry.,normal
157.28,Starbucks,Heavy quickly really.,entertainment
2847.51,Amazon,Project pass artist public cultural smile society.,fraudulent
178.71,LocalMarket,Church care hard many certain gun matter.,groceries
387.98,Walmart,So north expert.,normal
398.62,Starbucks,Time technology truth serious second relationship.,normal
30.6,Amazon,Job whom special task minute affect.,normal
541.81,Netflix,Write rise maybe herself check scene task.,normal
454.2,LocalMarket,Maybe simple stuff home leader movement fight various.,normal
58.28,Amazon,Space road detail example project evening use.,normal
318.65,Shell,Born option concern opportunity involve.,normal
307.42,Shell,Herself agreement sister time hair itself new word.,normal
139.83,LocalMarket,Region give wear light within doctor white.,normal
165.8,LocalMarket,Learn lead stock.,groceries
242.17,Walmart,Tax before federal there.,groceries
293.84,Walmart,Notice ball expect explain white southern.,groceries
431.17,Walmart,Special attorney soon meeting our miss market.,normal
533.2,Amazon,Industry her upon suffer.,normal
204.11,Walmart,Nothing majority develop stock return issue theory benefit.,groceries
163.95,Walmart,Natural thing appear exist.,groceries
798.74,Walmart,Wall before training son Congress.,normal
58.96,Netflix,Reality training per now pressure include recent.,normal
501.48,Walmart,Executive wide beat.,normal
467.1,Walmart,Size huge fear keep.,normal
281.4,Netflix,Move vote pull at.,normal
210.3,InsuranceCo,Art tonight away age player specific.,utilities
167.34,LocalMarket,Alone couple per back.,normal
608.92,Netflix,Child to moment people onto protect seat.,normal
188.15,Shell,Six stop upon drive fall help minute.,normal
117.46,Netflix,He trouble experience effect need.,entertainment
694.96,Netflix,Should tend available story agree.,normal
84.58,Netflix,Care treat financial ten gun.,normal
269.76,LocalMarket,Enjoy country professional experience.,groceries
248.6,Netflix,Whose daughter medical loss pretty medical heavy sit.,normal
236.41,Starbucks,Treatment you admit sometimes bag raise.,normal
137.12,Netflix,Action structure person.,entertainment
700.72,Walmart,Thought military per require.,normal
695.71,Netflix,New Mr wife imagine.,normal
269.63,Amazon,Statement special amount him factor benefit decision.,normal
404.89,LocalMarket,Floor fact at lead.,normal
260.29,LocalMarket,Hope member camera serious group.,normal
216.52,Shell,Evidence face star guy affect.,normal
366.68,LocalMarket,Mother share beyond drop someone thousand.,normal
25.29,Walmart,Report standard debate behind kid wall own else.,groceries
240.37,LocalMarket,Career in away law individual month.,normal
478.14,Starbucks,Bill safe attack still box help so.,normal
177.56,Walmart,Wrong during last bank.,normal
297.47,Amazon,Shake friend conference relate.,normal
236.29,Walmart,Goal doctor administration employee democratic.,groceries
169.94,Netflix,Candidate bar wait animal common game.,entertainment
68.18,Starbucks,Into daughter very member decision approach attack.,entertainment
107.59,LocalMarket,Analysis main cause crime agency reflect.,groceries
98.17,LocalMarket,Floor practice would side modern.,groceries
486.81,Amazon,Strong woman sense civil science participant put agree.,normal
715.51,Amazon,Human establish foot.,normal
384.68,InsuranceCo,Region whatever stage continue factor body.,utilities
256.59,Shell,Interview address vote manager PM course.,utilities
435.59,Shell,Case agent lose heart artist according.,utilities
94.77,LocalMarket,Report spend he customer.,groceries
299.35,Walmart,Not accept board new public student teach.,normal
223.59,LocalMarket,Likely however alone operation cause through threat.,groceries
143.4,InsuranceCo,Feeling door season young create several.,utilities
133.81,Netflix,Sea according attorney.,entertainment
294.62,Netflix,Decide rock shoulder course court space individual.,normal
188.76,InsuranceCo,Piece rock view try range from.,utilities
511.39,Netflix,Agree decade film arrive.,normal
189.06,Walmart,Order cut impact off type seek mind.,groceries
45.24,InsuranceCo,Away culture find up day.,normal
351.52,InsuranceCo,Finish field listen choose election.,utilities
494.96,Starbucks,Myself with middle court.,normal
478.07,Netflix,Little be save else nature.,normal
188.25,Amazon,Role blue positive past.,normal
26.58,Amazon,So most whose add state fact trial.,normal
2081.12,InsuranceCo,Create recently really factor attack action six.,fraudulent
646.08,InsuranceCo,House worker parent interesting check.,normal
597.93,Walmart,Leg half girl soon final wife physical.,normal
68.63,LocalMarket,Her medical hair international.,normal
428.17,LocalMarket,What half believe project describe third.,normal
154.88,Walmart,Fear manage economic.,normal
686.33,LocalMarket,Student almost lay night left.,normal
133.09,Walmart,Good only unit history shoulder change not.,normal
234.03,LocalMarket,Popular measure throw offer police.,groceries
56.21,Starbucks,Win go body might door stage.,entertainment
466.86,LocalMarket,Owner through occur TV fund imagine.,normal
246.22,LocalMarket,Star return vote all style contain big.,groceries
214.9,LocalMarket,Strong sea order.,normal
323.4,Walmart,Quality three hospital consumer central conference.,normal
